,number,pokemon_name,pic_url,main_type,secondary_type,region,category,pokemon_family,attack,defense,stamina,flee_rate,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks,CP_Min,CP_Max,HP_Min,HP_Max,Porcentagem_masculino,Porcentagem_feminino,Tx_captura,Fire_weakness,Flying_weakness,Ice_weakness,Psychic_weakness,Ground_weakness,Rock_weakness,Water_weakness,Electric_weakness,Grass_weakness,Fighting_weakness,Poison_weakness,Steel_weakness,Bug_weakness,Fairy_weakness,Dark_weakness,Ghost_weakness,Dragon_weakness,0_weakness,Electric_resistance,Fairy_resistance,Fighting_resistance,Water_resistance,Grass_resistance,Bug_resistance,Fire_resistance,Ice_resistance,Steel_resistance,Ground_resistance,Poison_resistance,Ghost_resistance,Flying_resistance,Rock_resistance,Dark_resistance,Dragon_resistance,Psychic_resistance,Normal_resistance,0_resistance
363,364,Sealeo,https://static.wikia.nocookie.net/pokemongo/images/9/99/Sealeo.png,Ice,Water,Hoenn,Ball,Spheal family,137,132,207,7%,Yes ,No,No  ,No,Yes,Yes,Sealeo has the habit of always juggling on the tip of its nose anything it sees for the first time. This Pokémon occasionally entertains itself by balancing and rolling a Spheal on its nose.,"['Powder Snow', 'Water Gun', 'Aurora Beam', 'Body Slam', 'Water Pulse']",1714,1714,19,175,50.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,365,Walrein,https://static.wikia.nocookie.net/pokemongo/images/8/80/Walrein.png,Ice,Water,Hoenn,Ice,Spheal family,182,176,242,5%,No ,No,Formerly  (3rd tier level),No,Yes,Yes,Walrein's two massively developed tusks can totally shatter blocks of ice weighing 10 tons with one blow. This Pokémon's thick coat of blubber insulates it from subzero temperatures.,"['Frost Breath', 'Waterfall', 'Powder Snow', 'Blizzard', 'Earthquake', 'Water Pulse', 'Icicle Spear']",2726,2726,22,203,50.0,50.0,12.5,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,366,Clamperl,https://static.wikia.nocookie.net/pokemongo/images/c/ce/Clamperl.png,Water,0,Hoenn,Bivalve,Clamperl family,133,135,111,10%,Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,No,Clamperl's sturdy shell is not only good for protection—it is also used for clamping and catching prey. A fully grown Clamperl's shell will be scored with nicks and scratches all over.,"['Water Gun', 'Body Slam', 'Ice Beam', 'Water Pulse']",1270,1270,10,99,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,367,Huntail,https://static.wikia.nocookie.net/pokemongo/images/4/49/Huntail.png,Water,0,Hoenn,Deep,Clamperl family,197,179,146,6%,No ,No,No  ,No,Yes,No,Huntail's presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This Pokémon's eyes can see clearly even in the murky dark depths of the ocean.,"['Bite', 'Water Gun', 'Aqua Tail', 'Crunch', 'Ice Beam']",2340,2340,13,127,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,368,Gorebyss,https://static.wikia.nocookie.net/pokemongo/images/4/41/Gorebyss.png,Water,0,Hoenn,South,Clamperl family,211,179,146,6%,No ,No,No  ,No,Yes,No,"Gorebyss lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this Pokémon's body is unharmed by ordinary attacks.","['Confusion', 'Water Gun', 'Draining Kiss', 'Psychic', 'Water Pulse']",2494,2494,13,127,50.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,369,Relicanth,https://static.wikia.nocookie.net/pokemongo/images/a/a1/Relicanth.png,Water,Rock,Hoenn,Longevity,Relicanth family,162,203,225,1%,Yes ,No,No  ,No,No,No,Relicanth is a Pokémon species that existed for a hundred million years without ever changing its form. This ancient Pokémon feeds on microscopic organisms with its toothless mouth.,"['Water Gun', 'Zen Headbutt', 'Ancient Power', 'Aqua Tail', 'Hydro Pump']",2528,2528,21,189,87.5,12.5,90.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,-256.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,62.5,0.0,0.0,62.5,0.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0
369,370,Luvdisc,https://static.wikia.nocookie.net/pokemongo/images/c/ce/Luvdisc.png,Water,0,Hoenn,Rendezvous,Luvdisc family,81,128,125,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,Luvdisc live in shallow seas in the tropics. This heart-shaped Pokémon earned its name by swimming after loving couples it spotted in the ocean's waves.,"['Splash', 'Water Gun', 'Aqua Jet', 'Draining Kiss', 'Water Pulse']",848,848,11,110,25.0,75.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,371,Bagon,https://static.wikia.nocookie.net/pokemongo/images/9/9d/Bagon.png,Dragon,0,Hoenn,Rock,Bagon family,134,93,128,9%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Bagon has a dream of one day soaring in the sky. In doomed efforts to fly, this Pokémon hurls itself off cliffs. As a result of its dives, its head has grown tough and as hard as tempered steel.","['Bite', 'Ember', 'Crunch', 'Flamethrower', 'Twister']",1156,1156,12,113,50.0,50.0,40.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,372,Shelgon,https://static.wikia.nocookie.net/pokemongo/images/4/48/Shelgon.png,Dragon,0,Hoenn,Endurance,Bagon family,172,155,163,6%,Yes ,No,No  ,No,Yes,Yes,"Inside Shelgon's armor-like shell, cells are in the midst of transformation to create an entirely new body. This Pokémon's shell is extremely heavy, making its movements sluggish.","['Dragon Breath', 'Ember', 'Dragon Pulse', 'Flamethrower', 'Twister']",2031,2031,15,140,50.0,50.0,10.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,373,Salamence,https://static.wikia.nocookie.net/pokemongo/images/f/fe/Salamence.png,Dragon,Flying,Hoenn,Dragon,Bagon family,277,168,216,5%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Salamence came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this Pokémon's cells, causing it to sprout its magnificent wings.","['Bite', 'Dragon Tail', 'Fire Fang', 'Draco Meteor', 'Fire Blast', 'Hydro Pump', 'Outrage']",3749,3749,20,182,50.0,50.0,5.0,0.0,0.0,-256.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,0.0,0.0,62.5,62.5,39.0,62.5,62.5,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,374,Beldum,https://static.wikia.nocookie.net/pokemongo/images/f/f5/Beldum.png,Steel,Psychic,Hoenn,Iron,Beldum family,96,132,120,9%,Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Instead of blood, a powerful magnetic force courses throughout Beldum's body. This Pokémon communicates with others by sending controlled pulses of magnetism.","['Take Down', 'Struggle']",976,976,11,106,0.0,0.0,40.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,39.0,0.0,62.5,62.5,0.0,62.5,39.0,62.5,0.0
374,375,Metang,https://static.wikia.nocookie.net/pokemongo/images/f/fb/Metang.png,Steel,Psychic,Hoenn,Iron,Beldum family,138,176,155,6%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"When two Beldum fuse together, Metang is formed. The brains of the Beldum are joined by a magnetic nervous system. By linking its brains magnetically, this Pokémon generates strong psychokinetic power.","['Metal Claw', 'Zen Headbutt', 'Gyro Ball', 'Psychic', 'Psyshock']",1721,1721,14,134,0.0,0.0,10.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,39.0,0.0,62.5,62.5,0.0,62.5,39.0,62.5,0.0
375,376,Metagross,https://static.wikia.nocookie.net/pokemongo/images/9/95/Metagross.png,Steel,Psychic,Hoenn,Iron,Beldum family,257,228,190,5%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Metagross has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This Pokémon can float in the air by tucking in its four legs.","['Bullet Punch', 'Zen Headbutt', 'Earthquake', 'Flash Cannon', 'Psychic', 'Meteor Mash']",3791,3791,17,162,0.0,0.0,5.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,39.0,0.0,62.5,62.5,0.0,62.5,39.0,62.5,0.0
376,377,Regirock,https://static.wikia.nocookie.net/pokemongo/images/b/bd/Regirock.png,Rock,0,Hoenn,Rock,Regirock family,179,309,190,1%,No ,No,Formerly  (5th tier level),No,Yes,No,"Regirock was sealed away by people long ago. If this Pokémon's body is damaged in battle, it is said to seek out suitable rocks on its own to repair itself.","['Lock-On', 'Rock Smash', 'Rock Throw', 'Focus Blast', 'Stone Edge', 'Zap Cannon', 'Earthquake']",3122,3122,17,162,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,62.5,0.0,0.0,0.0,0.0,62.5,0.0
377,378,Regice,https://static.wikia.nocookie.net/pokemongo/images/f/ff/Regice.png,Ice,0,Hoenn,Iceberg,Regice family,179,309,190,1%,No ,No,Formerly  (5th tier level),No,Yes,No,"Regice's body was made during an ice age. The deep-frozen body can't be melted, even by fire. This Pokémon controls frigid air of -328 degrees Fahrenheit.","['Frost Breath', 'Lock-On', 'Rock Smash', 'Blizzard', 'Earthquake', 'Focus Blast', 'Thunder']",3122,3122,17,162,0.0,0.0,2.0,-160.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,379,Registeel,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Registeel.png,Steel,0,Hoenn,Iron,Registeel family,143,285,190,1%,No ,No,Formerly  (5th tier level),No,Yes,No,Registeel has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this Pokémon eats.,"['Lock-On', 'Metal Claw', 'Rock Smash', 'Flash Cannon', 'Focus Blast', 'Hyper Beam', 'Zap Cannon']",2447,2447,17,162,0.0,0.0,2.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,62.5,62.5,0.0,39.0,0.0,62.5,62.5,0.0,62.5,62.5,62.5,0.0
379,380,Latias,https://static.wikia.nocookie.net/pokemongo/images/2/28/Latias.png,Dragon,Psychic,Hoenn,Eon,Latias family,228,246,190,1%,No ,No,Formerly  (5th tier level),No,Yes,Yes,"Standard Pokédex description
Latias is highly sensitive to the emotions of people. If it senses any hostility, this Pokémon ruffles the feathers all over its body and cries shrilly to intimidate the foe.","['Charm', 'Dragon Breath', 'Zen Headbutt', 'Outrage', 'Psychic', 'Thunder', 'Mist Ball']",3510,3510,17,162,0.0,0.0,2.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,-160.0,-160.0,-160.0,0.0,62.5,0.0,62.5,62.5,62.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
380,381,Latios,https://static.wikia.nocookie.net/pokemongo/images/6/6f/Latios.png,Dragon,Psychic,Hoenn,Eon,Latios family,268,212,190,1%,No ,No,Formerly  (5th tier level),No,Yes,No,"Standard Pokédex description
Latios has the ability to make others see an image of what it has seen or imagines in its head. This Pokémon is intelligent and understands human speech.","['Dragon Breath', 'Zen Headbutt', 'Dragon Claw', 'Psychic', 'Solar Beam', 'Luster Purge']",3812,3812,17,162,0.0,0.0,2.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,-160.0,-160.0,-160.0,0.0,62.5,0.0,62.5,62.5,62.5,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
381,382,Kyogre,https://static.wikia.nocookie.net/pokemongo/images/f/f3/Kyogre.png,Water,0,Hoenn,Sea,Kyogre family,270,228,205,1%,No ,No,Formerly  (5th tier level),No,Yes,No,"Standard Pokédex description
Through Primal Reversion and with nature's full power, it will take back its true form. It can summon storms that cause the sea levels to rise.","['Waterfall', 'Blizzard', 'Hydro Pump', 'Surf', 'Thunder']",4115,4115,19,173,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,383,Groudon,https://static.wikia.nocookie.net/pokemongo/images/d/d5/Groudon.png,Ground,0,Hoenn,Continent,Groudon family,270,228,205,1%,No ,No,Formerly  (5th tier level),No,Yes,No,"Standard Pokédex description
Groudon is said to be the personification of the land itself. Legends tell of its many clashes against Kyogre, as each sought to gain the power of nature.","['Dragon Tail', 'Mud Shot', 'Earthquake', 'Fire Blast', 'Solar Beam', 'Fire Punch']",4115,4115,19,173,0.0,0.0,2.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
383,384,Rayquaza,https://static.wikia.nocookie.net/pokemongo/images/6/66/Rayquaza.png,Dragon,Flying,Hoenn,Sky,Rayquaza family,284,170,213,1%,No ,No,Formerly  (5th tier level),No,Yes,No,"Standard Pokédex description
Rayquaza is said to have lived for hundreds of millions of years. Legends remain of how it put to rest the clash between Kyogre and Groudon.","['Air Slash', 'Dragon Tail', 'Aerial Ace', 'Ancient Power', 'Outrage', 'Hurricane']",3835,3835,20,180,0.0,0.0,2.0,0.0,0.0,-256.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,0.0,0.0,62.5,62.5,39.0,62.5,62.5,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,385,Jirachi,https://static.wikia.nocookie.net/pokemongo/images/6/60/Jirachi.png,Steel,Psychic,Hoenn,Wish,Jirachi family,210,210,225,0,No ,No,No  ,No,No,No,"A legend states that Jirachi will make true any wish that is written on notes attached to its head when it awakens. If this Pokémon senses danger, it will fight without awakening.","['Charge Beam', 'Confusion', 'Dazzling Gleam', 'Doom Desire', 'Psychic']",3265,3265,21,189,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,39.0,0.0,62.5,62.5,0.0,62.5,39.0,62.5,0.0
385,386,Deoxys,https://static.wikia.nocookie.net/pokemongo/images/d/d5/Deoxys.png,Psychic,0,Hoenn,DNA,Deoxys family,345,115,137,1%,No ,No,Formerly  (5th tier level),No,Yes,No,The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in Deoxys. The crystalline organ on this Pokémon's chest appears to be its brain.,"['Charge Beam', 'Zen Headbutt', 'Hyper Beam', 'Psycho Boost', 'Thunderbolt', 'Poison Jab', 'Zen Headbutt', 'Dark Pulse', 'Psycho Boost', 'Zap Cannon', 'Counter', 'Zen Headbutt', 'Psycho Boost', 'Rock Slide', 'Thunderbolt', 'Charge Beam', 'Zen Headbutt', 'Psycho Boost', 'Swift', 'Thunderbolt']",3160,3160,12,120,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0
386,387,Turtwig,https://static.wikia.nocookie.net/pokemongo/images/c/c8/Turtwig.png,Grass,0,Sinnoh,Tiny,Turtwig family,119,110,146,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.","['Razor Leaf', 'Tackle', 'Body Slam', 'Energy Ball', 'Seed Bomb']",1187,1187,13,127,87.5,12.5,20.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,388,Grotle,https://static.wikia.nocookie.net/pokemongo/images/7/75/Grotle.png,Grass,0,Sinnoh,Grove,Turtwig family,157,143,181,7%,Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,It knows where pure water wells up. It carries fellow Pokémon there on its back.,"['Bite', 'Razor Leaf', 'Body Slam', 'Energy Ball', 'Solar Beam']",1890,1890,17,154,87.5,12.5,10.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,389,Torterra,https://static.wikia.nocookie.net/pokemongo/images/0/05/Torterra.png,Grass,Ground,Sinnoh,Continent,Turtwig family,202,188,216,5%,No ,No,Formerly  (3rd tier level),No,Yes,Yes,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,"['Bite', 'Razor Leaf', 'Earthquake', 'Sand Tomb', 'Solar Beam', 'Stone Edge', 'Frenzy Plant']",2934,2934,20,182,87.5,12.5,5.0,-160.0,-160.0,-256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0
389,390,Chimchar,https://static.wikia.nocookie.net/pokemongo/images/9/9f/Chimchar.png,Fire,0,Sinnoh,Chimp,Chimchar family,113,86,127,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.,"['Ember', 'Scratch', 'Flame Charge', 'Flame Wheel', 'Flamethrower']",957,957,11,112,87.5,12.5,20.0,0.0,0.0,0.0,0.0,-160.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,391,Monferno,https://static.wikia.nocookie.net/pokemongo/images/6/64/Monferno.png,Fire,Fighting,Sinnoh,Playful,Chimchar family,158,105,162,7%,Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.,"['Ember', 'Rock Smash', 'Flame Wheel', 'Flamethrower', 'Low Sweep']",1574,1574,15,139,87.5,12.5,10.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0
391,392,Infernape,https://static.wikia.nocookie.net/pokemongo/images/1/17/Infernape.png,Fire,Fighting,Sinnoh,Flame,Chimchar family,222,151,183,5%,No ,No,Formerly  (4th tier level),No,Yes,No,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.,"['Fire Spin', 'Rock Smash', 'Close Combat', 'Flamethrower', 'Solar Beam', 'Blast Burn']",2683,2683,17,156,87.5,12.5,5.0,0.0,-160.0,0.0,-160.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,39.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0
392,393,Piplup,https://static.wikia.nocookie.net/pokemongo/images/1/11/Piplup.png,Water,0,Sinnoh,Penguin,Piplup family,112,102,142,10%,Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.","['Bubble', 'Pound', 'Bubble Beam', 'Drill Peck', 'Icy Wind']",1075,1075,13,124,87.5,12.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,394,Prinplup,https://static.wikia.nocookie.net/pokemongo/images/1/1b/Prinplup.png,Water,0,Sinnoh,Penguin,Piplup family,150,139,162,7%,Yes ,No,Formerly  (1st tier level),No,Yes,No,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.,"['Bubble', 'Metal Claw', 'Bubble Beam', 'Hydro Pump', 'Icy Wind']",1701,1701,15,139,87.5,12.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,395,Empoleon,https://static.wikia.nocookie.net/pokemongo/images/b/bb/Empoleon.png,Water,Steel,Sinnoh,Emperor,Piplup family,210,186,197,5%,No ,No,No  ,No,Yes,No,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,"['Metal Claw', 'Waterfall', 'Blizzard', 'Drill Peck', 'Flash Cannon', 'Hydro Pump', 'Hydro Cannon']",2900,2900,18,167,87.5,12.5,5.0,0.0,0.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,62.5,0.0,62.5,0.0,39.0,39.0,0.0,39.0,0.0,62.5,62.5,0.0,62.5,62.5,62.5,0.0
395,396,Starly,https://static.wikia.nocookie.net/pokemongo/images/0/08/Starly.png,Normal,Flying,Sinnoh,Starling,Starly family,101,58,120,20%,Yes ,No,Formerly  (1st tier level),Formerly ,No,Yes,"They flock around mountains and fields, chasing after bug Pokémon. Their singing is noisy and annoying.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Brave Bird']",719,719,11,106,50.0,50.0,50.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,397,Staravia,https://static.wikia.nocookie.net/pokemongo/images/d/df/Staravia.png,Normal,Flying,Sinnoh,Starling,Starly family,142,94,146,9%,Yes ,No,No  ,No,No,Yes,It lives in forests and fields. Squabbles over territory occur when flocks collide.,"['Quick Attack', 'Wing Attack', 'Aerial Ace', 'Brave Bird', 'Heat Wave']",1299,1299,13,127,50.0,50.0,25.0,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,398,Staraptor,https://static.wikia.nocookie.net/pokemongo/images/1/1f/Staraptor.png,Normal,Flying,Sinnoh,Predator,Starly family,234,140,198,6%,No ,No,Formerly  (3rd tier level),No,No,Yes,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.","['Quick Attack', 'Wing Attack', 'Brave Bird', 'Close Combat', 'Heat Wave']",2825,2825,18,168,50.0,50.0,12.5,0.0,0.0,-160.0,0.0,0.0,-160.0,0.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,0.0,0.0,0.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
